Date,Functionalities,Subject Matters,General Categories,Title,Text,Tags,Parents IDs,Children IDs,Siblings IDs,Fields,Entry ID
1/7/1997,Log,Basketball,Health; Entertainment,,Practiced hesi's,Dribbling; Moves,,,T-BB-1234,Place: YMCA--Duration: 60 minutes,L-BB-9999
1/5/1997,Task,Basketball,Health; Entertainment,Practice Hesi's,,,P-BB-9999,,L-BB-9999,,T-BB-1234
1/3/1997,Project,Basketball,Health; Entertainment,Improve Dribbling,,Dribbling,P-BB-1234,T-BB-1234,,,P-BB-9999
1/2/1997,Project,Basketball,Health; Entertainment,30 Day Improvement Plan,,,,P-BB-9999,L-BB-1234; J-BB-1234; I-BB-1234,Status: Active--Queue Date: NULL--Scheduled Completion: 2/2/1997--Completed Date: NULL--Cancelled Date: NULL,P-BB-1234
1/1/1997,Idea,Basketball,Health; Entertainment,Actually Trying to Get Better at Basketball,,,,,L-BB-1234; J-BB-1234; P-BB-1234,,I-BB-1234
1/1/1997,Journal,Basketball,Health; Entertainment; Mental Health,Man I Suck at Basketball,I played today and such played so bad UGH OMG,,,,L-BB-1234; I-BB-1234; P-BB-1234,,J-BB-1234
1/1/1997,Log,Basketball,Health; Entertainment,,,,,,J-BB-1234; I-BB-1234; P-BB-1234,Place: YMCA--Duration: 45 minutes,L-BB-1234
6/10/2010,Idea,Places,Entertainment,Pizza Hut,,Restaurant; Pizza,,,,,I-P-1000
6/10/2010,Idea,Places,Entertainment,Pizza Rock,,Restaurant; Pizza,,,L-P-1000,,I-P-1001
6/10/2010,Idea,Places,Entertainment,Pizza Tamborine,,Restaurant; Pizza,,,,,I-P-1002
6/12/2010,Log,Places,Entertainment,Pizza Rock,,Restaurant; Pizza,,,I-P-1001,"Rating: 8/10--Location: New Delhi, India",L-P-1000
1/12/2025,Journal; Note,Geography,Educational,Alaska!!!,Alaska seems really cool and makes me happy. Its' population consists entirely of polar bears HAH!!!,Alaska; Polar Bears,,,,,JN-GEO-8000
6/26/2026,Log,Cardio,Health; Fitness,,,Run,,,,Distance: 3,L-C-1000
6/27/2026,Log,Cardio,Health; Fitness,,,Run,,,,Distance: 6,L-C-1001
6/28/2026,Log,Cardio,Health; Fitness,,,Run,,,,Distance: 9,L-C-1002
6/29/2026,Log,Cardio,Health; Fitness,,,Run,,,,Distance: 12,L-C-1003
6/30/2026,Log,Cardio,Health; Fitness,,,Run,,,,Distance: 15,L-C-1004
7/1/1977,Log,Albums,Music; Entertainment,,,Rap; Drums,P-A-1000,,,Artist: Ye--Album: Ye Day--Rating: 6.5,L-A-1000
8/1/1977,Log,Albums,Music; Entertainment,,,Rap; Vocals,P-A-1000,,,Artist: Ye--Album: Gradu-YE-tion--Rating: 8,L-A-1001
9/1/1977,Log,Albums,Music; Entertainment,,,Rap; Experimental,P-A-1000,,,Artist: Ye--Album: Ye Im Dropping Out--Rating: 2,L-A-1002
10/1/1977,Log,Albums,Music; Entertainment,,,Rap,P-A-1000,,,Artist: Ye--Album: Kids See Ye--Rating: 9.8,L-A-1003
11/1/1977,Log,Albums,Music; Entertainment,,,Rap,P-A-1000,,,Artist: Ye--Album: Ye Im Not Creative--Rating: 5.1,L-A-1004
12/1/1977,Log,Albums,Music; Entertainment,,,Rap; Drums,P-A-1000,,,Artist: Trav--Album: Spooky Man Songs--Rating: 7,L-A-1005
12/3/1977,Log,Albums,Music; Entertainment,,,Rap; Rock,P-A-1000,,,Artist: Trav--Album: Utoespia--Rating: 10,L-A-1006
12/8/1977,Log,Albums,Music; Entertainment,,,Rap; Drums,P-A-1000,,,Artist: Trav--Album: Kboard Warriors--Rating: 1,L-A-1007
12/9/1977,Log,Albums,Music; Entertainment,,,Rap; Rock,P-A-1000,,,Artist: Trav--Album: Uzbekistan Warriors--Rating: 6.7,L-A-1008
1/10/1978,Log,Albums,Music; Entertainment,,,Rap; Rock,P-A-1000,,,Artist: Trav--Album: Hello Mom--Rating: 3.8,L-A-1009
6/26/1977,Project,Albums,Music; Entertainment,Listen to 1000 Albums This Year,Woah thats cRaZy!_!,,,L-A-1000; L-A-1001; L-A-1002; L-A-1003; L-A-1004; L-A-1005; L-A-1006; L-A-1007; L-A-1008; L-A-1009,,Status: Active--Queue Date: NULL--Scheduled Completion: 12/31/1977--Completed Date: NULL--Cancelled Date: NULL,P-A-1000
